111,ingot,A block of steel/gold/silver/other metal in a typically oblong shape.
112,joker,A person who is fond of joking.
113,kendo,A Japanese form of fencing with two-handed bamboo swords.
114,largo,A passage/movement/composition marked to be performed in a slow tempo and with a dignified style.
115,magic,The power of apparently influencing the course of events by using mysterious or supernatural forces.
116,neigh,A characteristic high-pitched sound uttered by a horse.
117,odium,General or widespread hatred or disgust directed toward someone as a result of their actions.
118,pilot,A person who operates the flying controls of an aircraft.
119,quart,A unit of liquid capacity equal to a quarter of a gallon or two pints.
120,rumba,A rhythmic dance with Spanish and African elements originating in Cuba.
121,saber,A heavy cavalry sword with a curved blade and a single cutting edge.
122,tenor,A singing voice between baritone and alto or countertenor. The highest of the ordinary adult male range.
123,urban,In/relating to/characteristic of a town or city.
124,vegan,A person who does not eat or use animal products.
125,wagon,A vehicle used for transporting goods or another specified purpose.
126,xeric,(of an environment or habitat) containing little moisture; very dry.
127,yatch,A medium-sized sailboat equipped for cruising or racing.
128,zebra,An African wild horse with black-and-white stripes and an erect mane.
129,blacksmith,A person who makes and repairs things in iron by hand.
